  0.00000        1.000000000         1.000000000         0.000000000         0.000000000         0.000000000     
 0.100000E-02    1.000000000        0.9996938873        0.2444157688E-003   0.4789690584E-004   0.1380002536E-004
 0.200000E-02    1.000000000        0.9992461853        0.6363039426E-003   0.9486535642E-004   0.2264541662E-004
 0.300000E-02    1.000000000        0.9988165362        0.1029331472E-002   0.1270231303E-003   0.2710919295E-004
 0.400000E-02    1.000000000        0.9984323800        0.1389738462E-002   0.1484498701E-003   0.2943169301E-004
 0.500000E-02    1.000000000        0.9980966037        0.1709966193E-002   0.1627603131E-003   0.3066974843E-004
 0.600000E-02    1.000000000        0.9978055167        0.1990771761E-002   0.1723748558E-003   0.3133671085E-004
 0.700000E-02    1.000000000        0.9975538186        0.2235624166E-002   0.1788628582E-003   0.3169442383E-004
 0.800000E-02    1.000000000        0.9973361907        0.2448680686E-002   0.1832466818E-003   0.3188192158E-004
 0.900000E-02    1.000000000        0.9971478052        0.2634018759E-002   0.1862007119E-003   0.3197532373E-004
 0.100000E-01    1.000000000        0.9969844505        0.2795356500E-002   0.1881758084E-003   0.3201722119E-004
 0.110000E-01    1.000000000        0.9968425171        0.2935973945E-002   0.1894771496E-003   0.3203176304E-004
 0.120000E-01    1.000000000        0.9967189364        0.3058717387E-002   0.1903135366E-003   0.3203270219E-004
 0.130000E-01    1.000000000        0.9966111069        0.3166036169E-002   0.1908291126E-003   0.3202782303E-004
 0.140000E-01    1.000000000        0.9965168249        0.3260029591E-002   0.1911240952E-003   0.3202144150E-004
 0.150000E-01    1.000000000        0.9964342215        0.3342494138E-002   0.1912685297E-003   0.3201584626E-004
 0.160000E-01    1.000000000        0.9963617093        0.3414967018E-002   0.1913115382E-003   0.3201214285E-004
 0.170000E-01    1.000000000        0.9962979370        0.3478764608E-002   0.1912876161E-003   0.3201075393E-004
 0.180000E-01    1.000000000        0.9962417516        0.3535015670E-002   0.1912209660E-003   0.3201171782E-004
 0.190000E-01    1.000000000        0.9961921669        0.3584689680E-002   0.1911285090E-003   0.3201486693E-004
 0.200000E-01    1.000000000        0.9961483372        0.3628620831E-002   0.1910219957E-003   0.3201993399E-004
 0.210000E-01    1.000000000        0.9961095356        0.3667528300E-002   0.1909094964E-003   0.3202661451E-004
 0.220000E-01    1.000000000        0.9960751356        0.3702033335E-002   0.1907964596E-003   0.3203460244E-004
 0.230000E-01    1.000000000        0.9960445963        0.3732673654E-002   0.1906864685E-003   0.3204360974E-004
 0.240000E-01    1.000000000        0.9960174492        0.3759915595E-002   0.1905817825E-003   0.3205337602E-004
 0.250000E-01    1.000000000        0.9959932882        0.3784164374E-002   0.1904837274E-003   0.3206367237E-004
 0.260000E-01    1.000000000        0.9959717600        0.3805772766E-002   0.1903929765E-003   0.3207430169E-004
 0.270000E-01    1.000000000        0.9959525567        0.3825048456E-002   0.1903097528E-003   0.3208509719E-004
 0.280000E-01    1.000000000        0.9959354098        0.3842260286E-002   0.1902339751E-003   0.3209591988E-004
 0.290000E-01    1.000000000        0.9959200844        0.3857643565E-002   0.1901653629E-003   0.3210665564E-004
 0.300000E-01    1.000000000        0.9959063747        0.3871404601E-002   0.1901035114E-003   0.3211721220E-004
 0.310000E-01    1.000000000        0.9958941000        0.3883724570E-002   0.1900479445E-003   0.3212751622E-004
 0.320000E-01    1.000000000        0.9958831015        0.3894762826E-002   0.1899981528E-003   0.3213751064E-004
 0.330000E-01    1.000000000        0.9958732395        0.3904659748E-002   0.1899536190E-003   0.3214715223E-004
 0.340000E-01    1.000000000        0.9958643906        0.3913539175E-002   0.1899138361E-003   0.3215640941E-004
 0.350000E-01    1.000000000        0.9958564459        0.3921510518E-002   0.1898783181E-003   0.3216526037E-004
 0.360000E-01    1.000000000        0.9958493091        0.3928670568E-002   0.1898466080E-003   0.3217369140E-004
 0.370000E-01    1.000000000        0.9958428950        0.3935105070E-002   0.1898182811E-003   0.3218169550E-004
 0.380000E-01    1.000000000        0.9958371277        0.3940890080E-002   0.1897929472E-003   0.3218927111E-004
 0.390000E-01    1.000000000        0.9958319402        0.3946093142E-002   0.1897702507E-003   0.3219642112E-004
 0.400000E-01    1.000000000        0.9958272727        0.3950774316E-002   0.1897498701E-003   0.3220315196E-004
 0.410000E-01    1.000000000        0.9958230719        0.3954987069E-002   0.1897315160E-003   0.3220947284E-004
 0.420000E-01    1.000000000        0.9958192906        0.3958779051E-002   0.1897149298E-003   0.3221539516E-004
 0.430000E-01    1.000000000        0.9958158864        0.3962192774E-002   0.1896998810E-003   0.3222093194E-004
 0.440000E-01    1.000000000        0.9958128215        0.3965266209E-002   0.1896861654E-003   0.3222609743E-004
 0.450000E-01    1.000000000        0.9958100622        0.3968033302E-002   0.1896736028E-003   0.3223090668E-004
 0.460000E-01    1.000000000        0.9958075782        0.3970524435E-002   0.1896620345E-003   0.3223537530E-004
 0.470000E-01    1.000000000        0.9958053423        0.3972766820E-002   0.1896513214E-003   0.3223951916E-004
 0.480000E-01    1.000000000        0.9958033304        0.3974784858E-002   0.1896413422E-003   0.3224335425E-004
 0.490000E-01    1.000000000        0.9958015207        0.3976600447E-002   0.1896319912E-003   0.3224689645E-004
 0.500000E-01    1.000000000        0.9957998934        0.3978233255E-002   0.1896231767E-003   0.3225016143E-004
 0.510000E-01    1.000000000        0.9957984311        0.3979700963E-002   0.1896148195E-003   0.3225316456E-004
 0.520000E-01    1.000000000        0.9957971178        0.3981019475E-002   0.1896068514E-003   0.3225592079E-004
 0.530000E-01    1.000000000        0.9957959392        0.3982203115E-002   0.1895992141E-003   0.3225844462E-004
